trade_date,close,volume,taiex_dist_250ma_pct,taiex_dist_125ma_z,volume_5m_60m,vix,vix_pct,econ_score,econ_signal_color,econ_blue_streak
2008-01-02,8323.05,4372600.0,,,,,,28,綠,0
2008-01-03,8184.2,3636400.0,,,,,,28,綠,0
2008-01-04,8221.1,4603600.0,,,,,,28,綠,0
2008-01-07,7883.37,4539800.0,,,,,,28,綠,0
2008-01-08,7962.91,4618800.0,,,,,,28,綠,0
2008-01-09,8085.06,4682400.0,,,,,,28,綠,0
2008-01-10,8057.27,4480000.0,,,,,,28,綠,0
2008-01-11,8029.31,3920400.0,,,,,,28,綠,0
2008-01-14,8173.41,6106000.0,,,,,,28,綠,0
2008-01-15,8428.84,7548600.0,,,,,,28,綠,0
2008-01-16,8179.54,7645200.0,,,,,,28,綠,0
2008-01-17,8101.63,6393800.0,,,,,,28,綠,0
2008-01-18,8184.65,5977400.0,,,,,,28,綠,0
2008-01-21,8110.2,5519000.0,,,,,,28,綠,0
2008-01-22,7581.96,4674600.0,,,,,,28,綠,0
2008-01-23,7408.4,5692200.0,,,,,,28,綠,0
2008-01-24,7517.05,5326400.0,,,,,,28,綠,0
2008-01-25,7739.59,4640400.0,,,,,,29,綠,0
2008-01-28,7485.79,3969400.0,,,,,,29,綠,0
2008-01-29,7576.42,3867400.0,,,,,,29,綠,0
2008-01-30,7543.5,4061000.0,,,,,,29,綠,0
2008-01-31,7521.13,4342600.0,,,,,,29,綠,0
2008-02-01,7673.99,4123200.0,,,,,,29,綠,0
2008-02-12,7553.3,3811000.0,,,,,,29,綠,0
2008-02-13,7550.55,3561200.0,,,,,,29,綠,0
2008-02-14,7865.28,4326600.0,,,,,,29,綠,0
2008-02-15,7876.37,3882600.0,,,,,,29,綠,0
2008-02-18,7890.9,4036800.0,,,,,,29,綠,0
2008-02-19,8024.41,4502800.0,,,,,,29,綠,0
2008-02-20,7894.47,4148400.0,,,,,,29,綠,0
2008-02-21,8085.93,4585400.0,,,,,,29,綠,0
2008-02-22,8108.71,4923400.0,,,,,,29,綠,0
2008-02-25,8286.31,6325000.0,,,,,,29,綠,0
2008-02-26,8307.67,6403800.0,,,,,,29,綠,0
2008-02-27,8462.08,6403600.0,,,,,,29,綠,0
2008-02-29,8412.76,5924600.0,,,,,,29,綠,0
2008-03-03,8262.87,5371400.0,,,,,,29,綠,0
2008-03-04,8470.11,6154200.0,,,,,,29,綠,0
2008-03-05,8483.95,6387800.0,,,,,,29,綠,0
2008-03-06,8658.64,6635600.0,,,1.206126493750909,,,29,綠,0
2008-03-07,8531.38,6186600.0,,,1.2098771074157992,,,29,綠,0
2008-03-10,8299.37,5125200.0,,,1.199935906205666,,,29,綠,0
2008-03-11,8381.6,4787000.0,,,1.1476771137206596,,,29,綠,0
2008-03-12,8435.3,5224600.0,,,1.1010987752004038,,,29,綠,0
2008-03-13,8210.99,4257000.0,,,1.0110572501886206,,,29,綠,0
2008-03-14,8161.39,4559200.0,,,0.9487766129205865,,,29,綠,0
2008-03-17,8005.46,4595400.0,,,0.9295689781829297,,,29,綠,0
2008-03-18,8057.82,4114800.0,,,0.9063571687044973,,,29,綠,0
2008-03-19,8179.35,4831800.0,,,0.891391864348859,,,29,綠,0
2008-03-20,8337.62,5514200.0,,,0.9396501369562138,,,29,綠,0
2008-03-21,8524.99,6460000.0,,,1.0096362341396503,,,29,綠,0
2008-03-24,8865.35,8697000.0,,,1.1559111401983353,,,29,綠,0
2008-03-25,8795.09,6914000.0,,,1.2568763849151512,,,27,綠,0
